NFT ID,Token Number,background,baseape,baseclothes,earrings,eyes,headwear,mouth,roses,necklace,crypto
41,99.87626168472846 10.526315789473685 6.122448979591836 6.143344709897611 10.588235294117647 11.920529801324504 11.11111111111111 12 9.94475138121547 11.842105263157894 9.67741935483871
42,98.41930734817139 10.404624277456648 5.732484076433121 7.659574468085106 11.042944785276074 10.714285714285714 10.843373493975903 10.90909090909091 9.574468085106382 11.538461538461538 10
43,97.78744736842731 9.278350515463918 5.8441558441558445 6.143344709897611 10.588235294117647 10.344827586206897 10.404624277456648 12.949640287769785 10.526315789473685 11.538461538461538 10.16949152542373
44,97.53888295548582 9.94475138121547 5.8441558441558445 6.143344709897611 11.042944785276074 11.25 12.162162162162161 10.465116279069766 10.344827586206897 10.285714285714285 10.05586592178771
45,96.90656765569344 10.526315789473685 5.921052631578947 6.870229007633588 10.778443113772456 11.25 10.404624277456648 10.465116279069766 11.11111111111111 9.523809523809524 10.05586592178771
46,98.31112997128739 9.67741935483871 6.122448979591836 6.8965517241379315 10.227272727272727 10.465116279069766 12 11.538461538461538 10.526315789473685 11.180124223602485 9.67741935483871
47,99.10390034500017 9.23076923076923 5.8441558441558445 6.293706293706294 10.588235294117647 11.920529801324504 10.227272727272727 13.333333333333334 10.344827586206897 11.538461538461538 9.782608695652174
48,97.39804763865828 10 6.428571428571429 6.143344709897611 12.328767123287673 11.25 11.11111111111111 10.344827586206897 10.526315789473685 9.89010989010989 9.375
49,97.81136861925648 10.526315789473685 6.122448979591836 6.143344709897611 11.042944785276074 10.465116279069766 10.227272727272727 12 9.94475138121547 11.76470588235294 9.574468085106382
50,102.34982717649619 10.97560975609756 5.8441558441558445 7.659574468085106 10.588235294117647 10.714285714285714 10.404624277456648 13.333333333333334 11.612903225806452 11.842105263157894 9.375
51,97.74571284562984 10.404624277456648 5.921052631578947 6.293706293706294 10.588235294117647 11.320754716981131 11.11111111111111 10.344827586206897 10.344827586206897 11.842105263157894 9.574468085106382
52,100.65257751983883 9.94475138121547 5.8441558441558445 7.659574468085106 11.042944785276074 10.404624277456648 10.843373493975903 12.949640287769785 11.612903225806452 10.97560975609756 9.375
53,98.89627517744283 10.465116279069766 6.164383561643836 6.870229007633588 10.227272727272727 10.465116279069766 11.76470588235294 10.90909090909091 10.588235294117647 11.76470588235294 9.67741935483871
54,96.8997316692236 9.278350515463918 6.164383561643836 6.293706293706294 10.588235294117647 10.285714285714285 12 10.465116279069766 10.588235294117647 11.180124223602485 10.05586592178771
55,100.12095733892443 10.227272727272727 5.8441558441558445 6.8965517241379315 11.042944785276074 10.465116279069766 12 10.90909090909091 11.11111111111111 11.842105263157894 9.782608695652174
56,99.9140276164485 9.67741935483871 5.8441558441558445 7.659574468085106 10.588235294117647 10.465116279069766 10.843373493975903 13.333333333333334 11.842105263157894 10.285714285714285 9.375
57,100.36572644012323 10.97560975609756 5.921052631578947 6.293706293706294 10.227272727272727 11.920529801324504 11.39240506329114 12 11.612903225806452 10.344827586206897 9.67741935483871
58,91.6207245421262 9.278350515463918 5.8441558441558445 6.143344709897611 11.042944785276074 11.320754716981131 12 12 9.94475138121547 9.523809523809524 4.522613065326633
